Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
330000	-6065.529461287852	-5485.4657070518915	-580.0637542359613	0.42818412122687627	0.28742687511044257	0.09301173050623764	0.1913772731564431	0.33924615524066054	0.4139620779266913	0.08021470429717656	0.16657706253547186	0.31061733206504133	0.4086715686365689	0.06593269019437527	0.21477840910401436	9.140130635550772	3.516123632653069	2.6218465817820116	0.7590628289823055	0.8320286055175955	1.4077612456381075	0.002460626136435291	35.81573606405725	51.64118258961728	-1433.9847046216419	-1787.5213145955863	-2263.959687834663
337500	-6056.262637671965	-5467.9421598188	-588.3204778531651	0.5053075565177287	0.24182035428301005	0.07098675941252894	0.1818853297867319	0.304131365390152	0.4256346856971244	0.09964237654502278	0.17059157236770103	0.3192411030367728	0.37433636386791874	0.08659655866466057	0.21982597443064777	9.311757989204237	5.62458114467616	5.132149391873664	0.6039530640242683	1.0578908835154297	1.3362701146699387	0.002204363166459671	32.31498729613082	60.39952456926415	-1427.2130795524267	-1788.1485434683254	-2252.5805367980474
345000	-6066.394832199144	-5478.637332265764	-587.75749993338	0.4888889517537141	0.22586530048285064	0.09914949977816899	0.18609624798526586	0.3555934177074867	0.3718371590192388	0.09972424193826993	0.17284518133500476	0.371090969509276	0.3443486031211656	0.08204362664279535	0.20251680072676292	9.311757989204237	4.019414556052443	1.2210816177623358	0.6529964481791453	0.9557942736673852	1.3895568802876535	0.0021715745068658543	36.28575509702846	55.009788681090086	-1441.9574297189847	-1783.153651157601	-2253.5262513891776
352500	-6085.1205264091	-5495.9176603253945	-589.2028660837058	0.5199515859531629	0.2161898174202887	0.11331408738102292	0.150544509245525	0.3272292670294602	0.41031862097579547	0.08285939261976513	0.17959271937497942	0.3021863307439227	0.3702335121150513	0.09364126156414444	0.23393889557688144	10.677626420350409	4.180266416836562	1.3577345895678636	0.6580489620269132	0.9473058077260841	1.3930168919709378	0.002319606749773145	35.711652245026166	58.74393837117251	-1449.568096494185	-1788.3758522985022	-2257.9737115327075
360000	-6051.995310852375	-5490.889416596576	-561.1058942557997	0.47884707031000817	0.2371724964625753	0.1019755378364672	0.18200489539094886	0.3012512821311787	0.4443627432555793	0.08267191579305562	0.17171405882018667	0.3165657586015242	0.3669120669360281	0.07325501172629305	0.24326716273615456	10.483971051953757	3.2975261914888447	1.1705689299627224	0.7003290369677062	0.9150894869669769	1.3831544714794461	0.0026040070795888084	31.744038543236	57.87620114695419	-1436.338862095461	-1784.097355966945	-2270.453198534169
367500	-6038.459770976848	-5473.697227832894	-564.7625431439534	0.4942212190367259	0.24069244247830315	0.09692397255859485	0.16816236592637548	0.29900456263708425	0.4634841445303808	0.09020285586997076	0.14730843696256435	0.32568864187727187	0.3947739893706437	0.06297111681154897	0.21656625194053541	10.648697283808957	1.3771783233310146	4.332950625650193	0.6972837913793168	0.8888120893591294	1.4124626135062144	0.0026711932542713927	25.098706950301064	51.68754084454125	-1435.1804019926594	-1788.631992333148	-2249.884833507087
375000	-6050.730855620141	-5476.562751073779	-574.1681045463621	0.4809172345155199	0.244763416748315	0.10009667567830005	0.1742226730578645	0.31272642283828	0.4234055032683262	0.09643092879104992	0.16743714510234398	0.30779395466835974	0.37545111147807014	0.08828188860554467	0.22847304524802545	9.042252900077347	2.0028766116618595	2.5669442005378356	0.6533589806152295	0.9394701782272645	1.4055201696366233	0.0024255496549694775	33.378515934480845	53.036879455314505	-1439.1710915092285	-1775.1799593339292	-2262.211700230621
382500	-6067.439493985107	-5490.170686881278	-577.2688071038292	0.5200793839463289	0.23391611652954275	0.10202417863810803	0.14398032088601984	0.29899998452564786	0.44751477815676083	0.08604809221524747	0.16743714510234398	0.3062095790817897	0.3770354870646402	0.08673675312710757	0.23001818072646255	9.042252900077347	1.5122636859160616	3.219448697640989	0.6861104535465758	0.8125944545465251	1.4998003797809276	0.002487979765345052	29.948744301073777	54.471931233179134	-1434.089403948201	-1790.1079722400125	-2265.973310693064
390000	-6068.005935871409	-5482.77278625221	-585.2331496191991	0.4820381304224193	0.24661943596643254	0.09165120297402529	0.17969123063712245	0.3020460163119142	0.3943921319333441	0.09908031996439103	0.20448153179035092	0.3252701073080432	0.37259169651648283	0.07089240770928736	0.23124578846618665	9.078064247734122	3.036391148631997	2.177796792318733	0.6535735888995018	0.9786725093442741	1.3661042521795528	0.0023964644525528126	35.60860709492955	57.5458032050161	-1436.2862471642152	-1780.7604951949606	-2265.7260438930334
397500	-6070.4329769611295	-5492.33120174591	-578.1017752152194	0.4539432672183022	0.29329899162030115	0.11034973769888555	0.14240800346251062	0.3205336861833456	0.42011764663695955	0.08229778565542167	0.17705088152427345	0.36813230322403767	0.32391040751980565	0.08549610466385317	0.2224611845923036	8.687214279104445	6.520043604236251	4.816025496687677	0.6720923630990963	0.961791515653333	1.364554656309945	0.0022834119479257435	34.11439487013191	55.42042646551057	-1442.5203362064688	-1778.5272308859073	-2271.2836346535337
405000	-6083.9324141716	-5499.916801420035	-584.0156127515651	0.4846382156910511	0.2778851743138937	0.07504000686956498	0.16243660312548977	0.31976810363109776	0.4116570770306122	0.10540712248003603	0.16316769685825425	0.3502113848820852	0.366245424707138	0.07192739540165559	0.21161579500912137	8.780846384297826	1.620883269341814	1.498985514886187	0.652042302901784	0.8920771556092414	1.4542236000742188	0.00241477128535188	33.78941045050658	55.794881519219786	-1435.4624689421835	-1784.6534125957908	-2279.800919882061
