Sample	posterior	likelihood	prior	speciescoalescent	birthRate.t:Species	YuleModel.t:Species	TreeHeight.Species	TreeHeight.t:tree_0_1	TreeHeight.t:tree_0_0	treeLikelihood.tree_0_1	treeLikelihood.tree_0_0	treePrior.t:tree_0_1	treePrior.t:tree_0_0	kappa.s:tree_0_0	freqParameter.s:tree_0_01	freqParameter.s:tree_0_02	freqParameter.s:tree_0_03	freqParameter.s:tree_0_04
625000	-765.414791074062	-755.338134689466	-3.89837049298844	-6.17828589160804	2.01710154379774	-2.37768863262702	0.669573847796051	1.7369021554833	1.13710762481905	-371.038008262383	-384.300126427082	-3.29138549224507	-0.866716665770361	3.24704168731112	0.209653074395259	0.28797689809241	0.260524565263884	0.241845462248447
650000	-778.745753283993	-761.191386983634	-3.90620906273226	-13.6481572376269	0.751832581739855	-3.37370625195062	0.824134972039894	1.20995195419902	1.08433663796568	-374.945799334032	-386.245587649602	-7.1153161627516	-2.52715550432312	3.24704168731112	0.209653074395259	0.28797689809241	0.260524565263884	0.241845462248447
675000	-797.735998522055	-762.042727385868	-3.4450277532595	-32.2482433829273	1.34042012411459	-1.42668832953289	0.505728670286142	1.84476664485393	0.943476234377094	-372.354926110234	-389.687801275634	-9.83656626790111	-9.32567213783176	2.31810092526196	0.221074555984291	0.276555416503377	0.260524565263884	0.241845462248447
700000	-786.483342369722	-757.68530139286	-1.56324690671167	-27.2347940701504	7.06630116349166	2.12224201202266	0.284444081905371	1.75550158020275	0.875080870353332	-370.270088887378	-387.415212505481	-8.44601350840433	-9.2660901891938	2.31810092526196	0.221074555984291	0.276555416503377	0.260524565263884	0.241845462248447
725000	-797.296283295994	-758.956277314609	-1.70399660824247	-36.6360093731432	2.42740119444172	0.724126246033717	0.500036879466785	2.69551911436442	1.36375197906743	-373.618021821426	-385.338255493182	-12.4936018417211	-11.1507934893623	2.73100603905247	0.221074555984291	0.276555416503377	0.260524565263884	0.241845462248447
750000	-814.740918850688	-768.653042346077	-3.7481974207208	-42.3396790838906	1.03145161928797	-1.43800583219347	0.493856711522467	3.75590302100099	0.889873557225711	-375.867869368889	-392.785172977188	-18.023385557945	-9.30447250800164	2.73100603905247	0.221074555984291	0.276555416503377	0.260524565263884	0.241845462248447
775000	-789.545485855642	-758.36547165569	-1.5779170644408	-29.6020971355104	10.700422049306	3.04274387147095	0.167005970603707	2.51978337374682	1.16883413985714	-370.479661336932	-387.885810318759	-8.19764967533262	-8.91667342568619	2.73100603905247	0.221074555984291	0.276555416503377	0.260524565263884	0.241845462248447
800000	-779.629935583323	-754.727855383903	-2.77576418909552	-22.1263160103238	3.1282561275083	-0.226117254904578	0.499890973381748	2.72671654460579	1.11664098597844	-370.600469180013	-384.12738620389	-8.94142939391064	-8.02298771067693	2.73100603905247	0.204582988926885	0.276555416503377	0.260524565263884	0.258337029305853
825000	-780.263876217942	-766.411322540614	-0.784707764609332	-13.0678459127189	2.12936515634965	1.19431561212673	0.20876205939896	1.50794748728891	0.804706076194956	-372.113982208332	-394.297340332282	-3.07899007100934	-4.56508816502157	2.73100603905247	0.204582988926885	0.276555416503377	0.260524565263884	0.258337029305853
850000	-779.194643620431	-753.858376556345	-0.954317053863006	-24.381950010223	3.46564844086796	1.77912047935765	0.308488246059701	1.71584563957938	0.854456322739718	-370.247391241524	-383.610985314821	-7.46361929527766	-10.3766274720881	2.73100603905247	0.204582988926885	0.276555416503377	0.260524565263884	0.258337029305853
875000	-782.751920857654	-765.228281568219	3.8282852291902	-21.3519245186258	10.0120352853326	6.4813092423763	0.0885677326050586	1.93275742401652	0.660317632100699	-371.774112444747	-393.454169123472	-9.07442126647305	-10.6128163204693	2.73100603905247	0.211293239113862	0.263523696598143	0.260524565263884	0.264658499024111
900000	-787.788183314893	-755.737903192855	-2.21204395691303	-29.8382361651254	5.25367910809901	0.20559472941735	0.352443626717533	1.96652742005886	1.90126813050931	-371.240969072088	-384.496934120767	-8.5453206348273	-14.7046569813756	2.2307646757847	0.211293239113862	0.263523696598143	0.260524565263884	0.264658499024111
925000	-795.638095373014	-765.901118193423	-5.52515293596855	-24.2118242436219	2.16063898055722	-2.34409531216676	0.6652132950594	1.28597320755735	1.06406451438213	-382.00202564529	-383.899092548133	-5.43604576047601	-11.4147170555516	5.48278170571262	0.235755577778356	0.263523696598143	0.236062226599391	0.264658499024111
